,id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
0,1,Ростов-на-Дону,ип гаврил с.а.,"п.глубокий, ул.артём 44",2035
1,2,Ростов-на-Дону,ип малышев,-,2036
2,3,Ростов-на-Дону,абасян а.п. ип,-,2038
3,4,Ростов-на-Дону,"азатян н,с. ип ул. ленин",-,315
4,5,Ростов-на-Дону,айдин в.я.,-,5030
5,6,Ростов-на-Дону,алексеев л п ип,будённый 161,316
6,7,Ростов-на-Дону,алексеев л п ип,будённый 161,316
7,8,Ростов-на-Дону,ип алиев т.м.,ип алиев т.м. п.газетный 39,5031
8,9,Ростов-на-Дону,алпатов в в ип,ип алиев т.м. п.газетный 39,5032
9,10,Ростов-на-Дону,алпатов в в ип,ул гвардейский 34-а,5033
10,11,Ростов-на-Дону,алпатов в.в. ип,ул гвардейский 34-а,317
11,12,Ростов-на-Дону,"алпатов в.в. ип ""ассорти+""",ул гвардейский 34-а,317
12,13,Ростов-на-Дону,алпатов в.в. ип ул.гвардейский 34-а,ул гвардейский 34-а,5034
13,14,Ростов-на-Дону,"ооо ""альтернатива""",ул гвардейский 34-а,5035
14,15,Ростов-на-Дону,альянс ооо г.новочеркаск,ул гвардейский 34-а,5036
15,16,Ростов-на-Дону,"андреасян а.а, ип",ул гвардейский 34-а,5037
16,17,Ростов-на-Дону,анохин с м ип,ростов на дон ул калинин 10-а,5038
17,18,Ростов-на-Дону,антипов и.д. п.васильевский,ростов на дон ул калинин 10-а,5039
18,19,Ростов-на-Дону,арег ооо,ростов на дон ул калинин 10-а,5040
19,20,Ростов-на-Дону,армада-н,ростов на дон ул калинин 10-а,5041
20,21,Ростов-на-Дону,арнес ооо,ростов на дон ул калинин 10-а,5042
21,22,Ростов-на-Дону,ип арустамян,ростовский обл. г.морозовск ул. ворошилов 364/2,2061
22,23,Ростов-на-Дону,асмаев т.а. ип маг. овощ-фрукт,ростовский обл. г.морозовск ул. ворошилов 364/2,5043
23,24,Ростов-на-Дону,асриян б х,-,5044
24,25,Ростов-на-Дону,"ооо ""ассоль""",-,2066
25,26,Ростов-на-Дону,атаари к.г. ип,-,2070
26,27,Ростов-на-Дону,бабков о.е. ип х.грушёвка,-,2071
27,28,Ростов-на-Дону,баг,ворошиловский 40,5045
28,29,Ростов-на-Дону,баулин н.е.,ворошиловский 40,5046
29,30,Ростов-на-Дону,"баусов и.в.ип м-н ""ирина""",ворошиловский 40,5047
30,31,Ростов-на-Дону,ип безбородов,до 12часы,5048
31,32,Ростов-на-Дону,беленков и.а. ип,до 12часы,5049
32,33,Ростов-на-Дону,беникнуть пок,-,2085
33,34,Ростов-на-Дону,беникнуть пок.,-,2085
34,35,Ростов-на-Дону,беникнуть пок.,ж,5050
35,36,Ростов-на-Дону,"бирюков л.н.ип фурманова, тп 20",ж,2086
36,37,Ростов-на-Дону,блок зао м-н №7,ж,2088
37,38,Ростов-на-Дону,болдырев и.н. ип,ж,5051
38,39,Ростов-на-Дону,ип бородин,ж,5052
39,40,Ростов-на-Дону,боря дубров,-,5053
40,41,Ростов-на-Дону,боря дубров,г азов центр рынок,5054
41,42,Ростов-на-Дону,боря дубров,"г.азов, центр. рынок",5055
42,43,Ростов-на-Дону,боря липтон,"г.азов, центр. рынок",5056
43,44,Ростов-на-Дону,брак,-,2094
44,45,Ростов-на-Дону,брижановый г.и. ип,-,2104
45,46,Ростов-на-Дону,ип бросалин л.н.,"г.ростов н/д, ул.штахановского, 12",5057
46,47,Ростов-на-Дону,бунич г.ф.ип,"г.ростов н/д, ул.штахановского, 12",5058
47,48,Ростов-на-Дону,буркут с.и. ип,"г.ростов н/д, ул.штахановского, 12",5059
48,49,Ростов-на-Дону,бычихина в.и. ип ул.новый 26,"г.ростов н/д, ул.штахановского, 12",5060
49,50,Ростов-на-Дону,валео ооо,"г.ростов н/д, ул.штахановского, 12",5061
50,51,Ростов-на-Дону,валерий фед,г ростов-на-дону соборный 72/малюгин,2111
