,id,Торг_точка_чистый_адрес
0,0,-
1,1,-
2,2,-
3,3,350072 г.краснодар ул. ростовский шоссе 25/2
4,4,350072 г краснодар ул ростовский шоссе 25/2
5,5,-
6,6,-
7,7,г.анапа ул.крепостной казачий рынок
8,8,-
9,9,"г.таганрог, ул. б. хмельницкого, 10"
10,10,-
11,11,-
12,12,-
13,13,-
14,14,"352013, краснодарский край, кущёвский р-н, алексеевский с, школьный ул, дом № 14"
15,15,-
16,16,г ростов-на-дону ул ерёменко 58/12
17,17,-
18,18,ро г сальск ул коломийцев 27
19,19,-
20,20,-
21,21,-
22,22,"347628, ростовский обл, сальский р-н, гигант п, красный ул, дом № 19 а"
23,23,-
24,24,-
25,25,"346518, ростовский обл, шахта г, дачный ул, дом № 288"
26,26,-
27,27,-
28,28,г ростов-на-дону ул волков 41/2
29,29,г. ростов-на-дону ул. волков 41/2
30,30,-
31,31,-
32,32,адыгея п.яблоновский ул.чапаев 14/1
33,33,-
34,34,-
35,35,-
36,36,-
37,37,-
38,38,-
39,39,"пр.шолохова,282"
40,40,"г. таганрог, октябрьская;136/1 цветочный;15"
41,41,ул.волков д.41/0
42,42,-
43,43,-
44,44,-
45,45,-
46,46,-
47,47,-
48,48,-
49,49,-
50,50,-
51,51,-
52,52,"346400, ростовский обл, новочеркасск г, павлов пл д.1 м-н ""анис"""
53,53,-
54,54,-
55,55,-
56,56,-
57,57,-
58,58,-
59,59,г.батайск восточный шоссе д.15
60,60,г.ростов-на-дону ул. станиславский 100
61,61,-
62,62,-
63,63,-
64,64,-
65,65,г батайск торговый кольцо 1
66,66,"347850, ростовский обл, каменский р-н, глубокий рп, артём ул, дом № 287"
67,67,"347850, ростовский обл, каменский р-н, глубокий рп, киров ул, дом № 27/26"
68,68,г.батайск ул.грузинский 275
69,69,-
70,70,космонавт 32
71,71,-
72,72,347800 ростовский обл г каменск-шахтинский ул профильный 33
73,73,-
74,74,"346270, ростовский обл, шолоховский р-н, вёшенский ст-ца, никулин ул, дом № 63"
75,75,-
76,76,"346556, ростовский обл, усть-донецкий р-н, тереховский х, мир ул, дом № 23"
77,77,-
78,78,-
79,79,-
80,80,-
81,81,-
82,82,-
83,83,"344000, ростовский обл, ростов-на-дону г, зорг ул, дом № 32"
84,84,-
85,85,-
86,86,"347628, ростовский обл, сальский р-н, гигант п, красный ул, дом № 6 а"
87,87,г ростов-на-дону пер днепровский 103 маг мир продукт
88,88,-
89,89,-
90,90,-
91,91,-
92,92,-
93,93,-
94,94,г.таганрог ул.чехов д.100 ц.рынок место №80
95,95,-
96,96,"витязево, ул. горького, 25 б, м-н ""олимп"""
97,97,-
98,98,-
99,99,"г.ростов-на-дону. ул. портовая, 419"
100,100,-
101,101,"346884, ростовский обл, батайск г, комаров ул, дом № 114"
102,102,-
103,103,-
104,104,-
105,105,г. ростов-на-дону ул. евдокимов 37/ть
106,106,г.ростов-на-дону пер. кировский 88/221
107,107,-
108,108,-
109,109,-
110,110,с. большой лог ул. советский 68
111,111,-
112,112,-
113,113,-
114,114,-
115,115,-
116,116,-
117,117,г.абинск пр.комсомольский 99 м-н №1
118,118,г абинск пр комсомольский 95 м-н №6
119,119,-
120,120,353720рфкрас-кий кр каневский р ст стародеревянковский комсомольская31
121,121,-
122,122,-
123,123,-
124,124,-
125,125,-
126,126,г ростов/дон ул таганрог 141
127,127,г.ростов-на-дону. ул.мечников 75
128,128,-
129,129,-
130,130,-
131,131,г.ростов-на-дону пер.морозный / пер.нарядный
132,132,-
133,133,-
134,134,-
135,135,-
136,136,-
137,137,-
138,138,г аксай лермонтов 114
139,139,-
140,140,-
141,141,-
142,142,-
143,143,с. кулешовка ул. ленин 295 б
144,144,-
145,145,-
146,146,-
147,147,г.ростов-на-дону ул.станиславский 135 б
148,148,"г.ростов/дон ул.вятский 59 б маг.""продукты"""
149,149,-
150,150,-
151,151,-
152,152,-
153,153,-
154,154,г.ростов/дон ул.орбитальный 9/беляев
155,155,-
156,156,г ростов-на-дону ул маршал жуков 30/95
157,157,-
158,158,-
159,159,р/д ул зорг 33/3
160,160,г.анапа центральный рынок
161,161,-
162,162,",347684, ростовский обл, егорлыкский р-н, , мирный х, шоссейный ул, 9, ,"
163,163,"г.батайск , крупский 6"
164,164,-
165,165,-
166,166,-
167,167,-
168,168,-
169,169,батайск ул.октябрьская/гайдар
170,170,г.батайск ул.молодёжный 56
171,171,г батайск горького/луначарский
172,172,-
173,173,-
174,174,-
175,175,-
176,176,-
177,177,"ростовский область, цимлянский, пос. саркел., ул. винзаводная, дом № 20"
178,178,-
179,179,"с.самарский пер.промышленный 98 маг ""спутник"""
180,180,-
181,181,"346645, ростовский обл, семикаракорский р-н, золотаревка х, и.и.васюков ул, дом № 18"
182,182,-
183,183,"346754, ростовский обл, азовский р-н, самарский с, к.маркс ул, дом № 122"
184,184,-
185,185,"г.ростов-на-дону, ул. еременко, 48"
186,186,г. ростов-на-дону ул. таганрогский 120 а
187,187,-
188,188,г. ростов-на-дону ул. таганрогский 157
189,189,-
190,190,"344038, г. ростов-на-дону, ул. шеболдаева, д. 6"
191,191,-
192,192,г.ростов-на-дону катаев 150/44 /гвардейский
193,193,-
194,194,-
195,195,-
196,196,-
197,197,"344000, ростовский обл, ростов-на-дону г, чкаловский рынок, днепровский рынок"
198,198,-
199,199,-
200,200,г батайск авиагородок
201,201,"г.батайск,авиагородка"
202,202,-
203,203,-
204,204,-
205,205,"347800, ростовский обл, каменск-шахтинский г, ворошилов ул, дом № 92"
206,206,"347803, ростовский обл, каменск-шахтинский г, белорусский ул, дом № 38"
207,207,-
208,208,-
209,209,-
210,210,-
211,211,"г. ростов-на-дону, ул. беляев 20/1"
212,212,-
213,213,-
214,214,ип шапорёв 347045 рост.обл.г.белый калитва ул.энгелиться 47
215,215,-
216,216,-
217,217,-
218,218,-
219,219,-
220,220,"344000, ростовский обл, ростов-на-дону г, стабильный ул, дом № 190/1, кв.28"
221,221,"344010, ростовский обл, ростов-на-дону г, энергетик пер, дом № 2"
222,222,-
223,223,-
224,224,-
225,225,-
226,226,г.таганрог ул.александровский д.23
227,227,г. ростов-на-дону ул. жмайлов 27
228,228,г.батайск ул.ленин 31
229,229,-
230,230,г кропоткин ул красный 217
231,231,347800 ростовский обл.г.каменск-шахтинский ул.геронв пионер д.25
232,232,г.анапа пр-кт пионерский 199
233,233,"г.анапа пр-кт пионерский 199 "" б """
234,234,-
235,235,-
236,236,-
237,237,-
238,238,-
239,239,-
240,240,-
241,241,-
242,242,-
243,243,-
244,244,-
245,245,-
246,246,-
247,247,-
248,248,"347320, ростовский обл, цимлянский р-н, цимлянск г, заводский ул, дом № 19а"
249,249,-
250,250,-
251,251,"396791, воронежский обл, богучарский р-н, богучар г, советский ул, дом № 70/1"
252,252,-
253,253,-
254,254,-
255,255,-
256,256,344092 г.ростов-на-дону ул.извилистый д.11
257,257,-
258,258,"г.новороссийск ул.советов, 7"
259,259,-
260,260,-
261,261,-
262,262,-
263,263,-
264,264,-
265,265,ул.лелюшенко д.13/1
266,266,-
267,267,-
268,268,-
269,269,"г. волгодонск, ул. морская, 15 склад 44"
270,270,-
271,271,-
272,272,-
273,273,-
274,274,"353614, краснодарский край, староминский р-н, канеловский ст-ца, пионерский ул, дом № 16/2"
275,275,"404350, волгоградский обл, котельниковский р-н, котельниково г, лимонная, дом № 45"
276,276,-
277,277,"404350, волгоградский обл, котельниковский р-н, котельниково г, лимонная, дом № 45"
278,278,"346400, ростовский обл, новочеркасск г, греков ул, дом № 64/34"
279,279,-
280,280,-
281,281,г.аксай ул.садовый 20/2
282,282,-
283,283,"г.сальск, ул.крамского,43"
284,284,-
285,285,ворошилоский 45
286,286,-
287,287,-
288,288,344091 г ростов-на-дону пр стачка 249
289,289,-
290,290,344091 г ростов-на-дону пр стачка 249
291,291,-
292,292,344091 г ростов-на-дону пр стачка 249
293,293,-
294,294,344091 г ростов-на-дону пр стачка 249
295,295,-
296,296,"344058,г.ростов-на-дону,улдоватора,160/1"
297,297,344058 г ростов-на-дону улдоватор 160/1
298,298,353600 краснодарский край ст.староминский ул.толстой 2 ж
299,299,-
300,300,"г.батайск ул.речной 2-й , 5 а"
301,301,г батайск ул энгельс 35
302,302,-
303,303,"344058,г.ростов-на-дону,улдоватора,160/1"
304,304,344058 г ростов-на-дону улдоватор 160/1
305,305,344058 г.ростов-на-дону улдоватор 160/1
306,306,-
307,307,-
308,308,"347360,ростовский обл.,г.волгодонск,"
309,309,-
310,310,г волгодонск ул бетонный 1
